ordering_name,ordering,shock,response,horizon,value,lower_95,upper_95,Acceptable if
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INF,1,0.07212946026526078,0.04016843456983999,0.09995075936030823,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INF,3,-0.008023636769680558,-0.03913912333418334,0.026291966781210974,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INF,6,0.0020060276248506648,-0.02097350163126298,0.02299094861686195,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INF,12,-0.00012020763914671791,-0.013955431614970716,0.011047578361897,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INF,24,0.0009606647313678577,-0.01034945306308588,0.008679239259303244,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,UNRATE,1,-0.2840327793381987,-0.3648891826114738,-0.20329174413574191,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,UNRATE,3,-0.20739555628222583,-0.3194552126480065,-0.08907882678335252,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,UNRATE,6,-0.20971271786590107,-0.32277888206652255,-0.08613908612856604,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,UNRATE,12,-0.21576426763963533,-0.3370400929932746,-0.057663636994733806,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,UNRATE,24,-0.14022500830679394,-0.2535115487579612,0.04514485637548673,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INDPRO_GROWTH,1,0.3710343502202437,0.2594157328822358,0.49101283298968723,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INDPRO_GROWTH,3,-0.07852306040960053,-0.20845668923505917,0.039165332522581496,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INDPRO_GROWTH,6,0.05147262511810676,-0.029163550096046997,0.1125296439009233,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INDPRO_GROWTH,12,0.0066079840092156065,-0.03589257599221985,0.036194735564092397,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,INDPRO_GROWTH,24,-0.001423867633390911,-0.029682850590175114,0.01993014893768507,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,SENTIMENT_CHANGE,1,0.010601205972299764,-0.36151385640250383,0.4029512480339627,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,SENTIMENT_CHANGE,3,-0.03351720860231946,-0.40772734214756506,0.38001814090927105,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,SENTIMENT_CHANGE,6,-0.17195818608939573,-0.41447913564675876,0.04779119824308157,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,SENTIMENT_CHANGE,12,-0.03834522274730758,-0.14058659678790936,0.03729712465153004,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
A_policy_first,"FEDFUNDS, INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE",FEDFUNDS,SENTIMENT_CHANGE,24,-0.04144621716565825,-0.10161032704322587,0.012533474819907936,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INF,1,0.037772799765971525,0.010612249960294133,0.06624649126214627,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INF,3,-0.007835940491641416,-0.037716020058801966,0.02431021832925933,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INF,6,-0.0036452026294683322,-0.02039799999032771,0.014116228380217886,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INF,12,-0.0001460011298332313,-0.012737214235032789,0.010035440873304902,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INF,24,0.0006767566266179283,-0.008660416352353872,0.008590160935276146,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,UNRATE,1,-0.20921718405528572,-0.26332142658490154,-0.1501300559249578,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,UNRATE,3,-0.1378783888316621,-0.23292109246882842,-0.027539461721993445,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,UNRATE,6,-0.14855800405268388,-0.2558178487763729,-0.03651894835469572,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,UNRATE,12,-0.15304933366921844,-0.26511283064568003,-0.001454930092456784,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,UNRATE,24,-0.09973778637885389,-0.21830157516035398,0.06879239423879267,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INDPRO_GROWTH,1,0.26309251112444293,0.15769076858258524,0.373242764242799,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INDPRO_GROWTH,3,-0.0758048902940664,-0.20190716352914612,0.035856426011371664,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INDPRO_GROWTH,6,0.04709491103930115,-0.0111210808758812,0.09412899626852447,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INDPRO_GROWTH,12,0.01309649425604185,-0.026458043470297826,0.040372077494147174,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,INDPRO_GROWTH,24,0.0015536018849427546,-0.02157038158681531,0.020162845633732388,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,SENTIMENT_CHANGE,1,0.17813355754260923,-0.19637356213566937,0.5833165808674128,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,SENTIMENT_CHANGE,3,0.06749410559314346,-0.3052516341781907,0.47729513270300444,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,SENTIMENT_CHANGE,6,-0.19716197683995312,-0.4229700639507755,-0.004843926291368472,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,SENTIMENT_CHANGE,12,-0.0036179473556391625,-0.08400868702827248,0.06522770791214162,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
B_slow_macro_first_policy_later,"INF, UNRATE, INDPRO_GROWTH, SENTIMENT_CHANGE, FEDFUNDS",FEDFUNDS,SENTIMENT_CHANGE,24,-0.03442472123843693,-0.09072196772056908,0.010607556791877,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
C_granger_policy_reaction,"INF, INDPRO_GROWTH, UNRATE, FEDFUNDS, SENTIMENT_CHANGE",FEDFUNDS,INF,1,0.03928101716246427,0.011972052502441002,0.06572499098530132,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
C_granger_policy_reaction,"INF, INDPRO_GROWTH, UNRATE, FEDFUNDS, SENTIMENT_CHANGE",FEDFUNDS,INF,3,-0.014465699704011615,-0.04638867631225665,0.017084354289918287,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
C_granger_policy_reaction,"INF, INDPRO_GROWTH, UNRATE, FEDFUNDS, SENTIMENT_CHANGE",FEDFUNDS,INF,6,-0.0007821313355863789,-0.01950436156864239,0.018931221804757124,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
C_granger_policy_reaction,"INF, INDPRO_GROWTH, UNRATE, FEDFUNDS, SENTIMENT_CHANGE",FEDFUNDS,INF,12,-0.0005757475443215064,-0.012723830294189747,0.00926482811553372,similar signs across defensible orderings indicate stronger IRF robustness; differences indicate identification sensitivity
