test,Acceptable if,source_residual,target_residual,max_abs_ccf_lag_1_to_24,confidence_bound_approx,num_lags_outside_bound,any_lag_outside_bound
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INF,FEDFUNDS,0.08739736109994045,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,UNRATE,FEDFUNDS,0.0881451453533548,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INDPRO_GROWTH,FEDFUNDS,0.08233083314335893,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,M2_GROWTH,FEDFUNDS,0.11333004275612976,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,SENTIMENT_CHANGE,FEDFUNDS,0.09245788194205704,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,FEDFUNDS,INF,0.1268189777327943,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,UNRATE,INF,0.10920662231365605,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INDPRO_GROWTH,INF,0.12075242298398238,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,M2_GROWTH,INF,0.12251973268636915,0.10175812980362833,3,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,SENTIMENT_CHANGE,INF,0.09443244943169056,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,FEDFUNDS,UNRATE,0.1421429242669451,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INF,UNRATE,0.10100928522720287,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INDPRO_GROWTH,UNRATE,0.09392081888671958,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,M2_GROWTH,UNRATE,0.07571057150467733,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,SENTIMENT_CHANGE,UNRATE,0.1505087445009707,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,FEDFUNDS,INDPRO_GROWTH,0.17281506859221016,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INF,INDPRO_GROWTH,0.1465885610488182,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,UNRATE,INDPRO_GROWTH,0.1534952074431219,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,M2_GROWTH,INDPRO_GROWTH,0.1260768609997599,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,SENTIMENT_CHANGE,INDPRO_GROWTH,0.09972948008082602,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,FEDFUNDS,M2_GROWTH,0.1409201505825313,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INF,M2_GROWTH,0.121648817862209,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,UNRATE,M2_GROWTH,0.0925839631332227,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INDPRO_GROWTH,M2_GROWTH,0.08557101056704687,0.10175812980362833,0,False
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,SENTIMENT_CHANGE,M2_GROWTH,0.10757573965254717,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,FEDFUNDS,SENTIMENT_CHANGE,0.16309634493446495,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INF,SENTIMENT_CHANGE,0.10412176367297057,0.10175812980362833,1,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,UNRATE,SENTIMENT_CHANGE,0.11331377989780204,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,INDPRO_GROWTH,SENTIMENT_CHANGE,0.15196364924998917,0.10175812980362833,2,True
Residual cross-correlation visual bound check,most residual cross-correlations stay inside approximately +/-1.96/sqrt(T) confidence bounds,M2_GROWTH,SENTIMENT_CHANGE,0.1215949107056392,0.10175812980362833,1,True
